
atterrissages;10;Campeur;Il a posé ses roues dans l'herbe et a sorti la tente. C'est le début de l'aventure.
atterrissages;25;Coureur des sentiers;Il commence à s'éloigner des sentiers battus et cherche de nouveaux terrains.
atterrissages;50;Chasseur de clairières;Le hors-piste n'est plus un hasard, il sait lire le terrain et éviter les pièges.
atterrissages;75;Éclaireur;Il ouvre la voie là où les autres n'osent pas encore regarder.
atterrissages;100;Explorateur;La barre des 100 ! Les zones blanches de la carte sont son terrain de jeu.
atterrissages;150;Veilleur des vallées;Il est capable de se poser sur des bandes de terre improbables et d'en repartir.
atterrissages;200;Voyageur au long cours;Enchaîner les bivouacs loin de toute civilisation ne lui fait pas peur. Il vit en autonomie totale avec sa machine.
atterrissages;250;Vétéran du bush;Le climat, la boue, les cailloux... Plus rien ne l'impressionne. C'est un dur à cuire.
atterrissages;300;Maître des horizons;Il survole et domine les environnements les plus hostiles de la planète.
atterrissages;400;Sorcier des Pistes;À ce niveau, ce n'est plus du pilotage, c'est de la magie. Il fait atterrir un avion là où on ne poserait pas un hélicoptère.
atterrissages;500;Légende des Pistes Oubliées;Celui qui a repoussé toutes les limites de la carte.


pays;5;Saute-Guichet;Il a franchi son premier poste-frontière sauvage. Les formalités commencent.
pays;10;Braconnier de Visas;Il commence à accumuler les tampons d'aérodromes improbables et de checkpoints isolés.
pays;15;Passeport à Rallonge;"Son passeport commence à saturer ; il a dû faire agrafer des pages supplémentaires."
pays;20;As du Tamponnage;Rien ne l'arrête, il obtient ses autorisations de poser même dans les pays les plus tatillons.
pays;25;Diplomate du Bush;25 pays. Il sait négocier avec n'importe quelle autorité locale après s'être posé dans une clairière.
pays;30;Maître des Checkpoints;Les barrières administratives s'effacent devant son hélice. Il connaît toutes les ficelles mondiales.
pays;40;Négociateur des Zones Grises;Entre accords tacites et terrains non cartographiés, il évolue là où les frontières n’ont plus vraiment de sens.
pays;50;Trafiquant d'Horizons;Le palier mythique. Il s'est posé partout, s'affranchissant des frontières de la Terre entière.


vols;10;Premier Envol;Il quitte le nid de plus en plus souvent. L'appel des airs commence à se faire sentir.
vols;25;Saute-Mouton;Il enchaîne les courtes distances et commence à prendre confiance une fois en l'air.
vols;50;Navigateur des Plaines;Les repères au sol deviennent familiers. Il trace ses premières vraies lignes droites.
vols;75;Guetteur de Nuages;Il sait lire le ciel, anticiper la météo et jouer avec les courants d'air.
vols;100;Franchisseur de Caps;La barre des 100 vols ! Voyager dans la troisième dimension devient une seconde nature.
